# City,Country,IATA,ICAO,Airport,Refs
Bratislava,Slovakia,BTS,LZIB,Bratislava Airport
Bremen,Germany (Bremen),BRE,EDDW,Bremen Airport
Bristol,United Kingdom,BRS,EGGD,Bristol Airport
Brno,Czech Republic,BRQ,LKTB,Brno-Tuřany Airport
Brussels,Belgium,BRU,EBBR,Brussels Airport
Bucharest,Romania,OTP,LROP,Henri Coandă International Airport
Budapest,Hungary,BUD,LHBP,Budapest Ferenc Liszt International Airport
Buenos Aires,Argentina,EZE,SAEZ,Ministro Pistarini International Airport
Bursa,Turkey,YEI,LTBR,Yenişehir Airport
Busan,South Korea,PUS,RKPK,Gimhae International Airport,[6]
Cagliari,Italy,CAG,LIEE,Cagliari-Elmas Airport
Cairo,Egypt,CAI,HECA,Cairo International Airport
Calgary,Canada,YYC,CYYC,Calgary International Airport,[7]
Campinas,Brazil,VCP,SBKP,Viracopos-Campinas International Airport
Cancun,Mexico,CUN,MMUN,Cancun International Airport,[8]
Cape Town,South Africa,CPT,FACT,Cape Town International Airport
Caracas,Venezuela,CCS,SVMI,Simón Bolívar International Airport
Cardiff,United Kingdom,CWL,EGFF,Cardiff Airport
Casablanca,Morocco,CMN,GMMN,Mohammed V International Airport
Catania,Italy,CTA,LICC,Catania-Fontanarossa Airport
Charlotte,United States,CLT,KCLT,Charlotte Douglas International Airport
Chennai,India,MAA,VOMM,Chennai International Airport
Chicago,United States,ORD,KORD,Chicago O'Hare International Airport
Chişinău,Republic of Moldova,KIV,LUKK,Chişinău International Airport
Cluj-Napoca,Romania,CLJ,LRCL,Cluj International Airport
Cologne/Bonn,Germany (North Rhine-Westphalia),CGN,EDDK,Konrad Adenauer Airport
Colombo,Sri Lanka,CMB,VCBI,Bandaranaike International Airport
Constantine,Algeria,CZL,DABC,Mohamed Boudiaf Airport
Copenhagen,Denmark,CPH,EKCH,Copenhagen Airport
Dakar,Senegal,DKR,GOOY,Leopold Sedar Senghor Airport
Dallas/Fort Worth,United States,DFW,KDFW,Dallas/Fort Worth International Airport
Damascus,Syria,DAM,OSDI,Damascus International Airport
Dammam,Saudi Arabia,DMM,OEDF,King Fahd International Airport
Dar es Salaam,Tanzania,DAR,HTDA,Julius Nyerere Airport
Delhi,India,DEL,VIDP,Indira Gandhi International Airport
Denpasar,Indonesia,DPS,WADD,Ngurah Rai International Airport
Denver,United States,DEN,KDEN,Denver International Airport
Detroit,United States,DTW,KDTW,Detroit Metropolitan Wayne County Airport
Doha,Qatar,DOH,OTBD,Doha International Airport
Donetsk,Ukraine,DOK,UKCC,Donetsk International Airport
Dortmund,Germany (North Rhine-Westphalia),DTM,EDLW,Dortmund Airport
Douala,Cameroon,DLA,FKKD,Douala International Airport
Dresden,Germany (Saxony),DRS,EDDC,Klotzsche Airport
Dubai,United Arab Emirates,DXB,OMDB,Dubai International Airport
Dublin,Ireland,DUB,EIDW,Dublin Airport
Dubrovnik,Croatia,DBV,LDDU,Dubrovnik Airport
Düsseldorf,Germany (North Rhine-Westphalia),DUS,EDDL,Düsseldorf International Airport
Edinburgh,United Kingdom,EDI,EGPH,Edinburgh Airport
Elba,Italy,EBA,LIRJ,Marina di Campo Airport
Erbil,Iraq,EBL,ORER,Erbil International Airport,[9]
Faro,Portugal,FAO,LPFR,Faro Airport
Florence,Italy,FLR,LIRQ,Peretola Airport
Frankfurt,Germany (Hesse),FRA,EDDF,Frankfurt Airport
Friedrichshafen,Germany (Baden-Württemberg),FDH,EDNY,Friedrichshafen Airport
Gdańsk,Poland,GDN,EPGD,Gdańsk Lech Wałęsa Airport
Geneva,Switzerland,GVA,LSGG,Geneva International Airport
Genoa,Italy,GOA,LIMJ,Genoa Cristoforo Colombo Airport
Glasgow,United Kingdom,GLA,EGPF,Glasgow International Airport
Gothenburg,Sweden,GOT,ESGG,Göteborg Landvetter Airport
Graz,Austria,GRZ,LOWG,Thalerhof Airport
Guangzhou,People's Republic of China,CAN,ZGGG,Guangzhou Baiyun International Airport
Guayaquil,Ecuador,GYE,SEGU,José Joaquín de Olmedo International Airport
Hamburg,Germany (Hamburg),HAM,EDDH,Hamburg Airport
Hanover,Germany (Lower Saxony),HAJ,EDDV,Langenhagen Airport
Hanoi,Vietnam,HAN,VVNB,Noi Bai International Airport
Harare,Zimbabwe,HRE,FVHA,Harare Airport
Helsinki,Finland,HEL,EFHK,Helsinki Airport
Heraklion,Greece,HER,LGIR,Heraklion International Airport
Hong Kong,Hong Kong,HKG,VHHH,Chek Lap Kok International Airport
Houston,United States,IAH,KIAH,George Bush Intercontinental Airport
Hyderabad,India,HYD,VOHS,Rajiv Gandhi International Airport
Ibiza,Spain,IBZ,LEIB,Ibiza Airport
Innsbruck,Austria,INN,LOWI,Kranebitten Airport
Inverness,United Kingdom,INV,EGPE,Inverness Airport
Istanbul,Turkey,IST,LTBA,Atatürk International Airport
Izmir,Turkey,ADB,LTBJ,Adnan Menderes Airport,[10]
Jakarta,Indonesia,CGK,WIII,Soekarno–Hatta International Airport,[11]
Jeddah,Saudi Arabia,JED,OEJN,King Abdulaziz International Airport
Jersey,United Kingdom,JER,EGJJ,Jersey Airport
Johannesburg,South Africa,JNB,FAJS,OR Tambo International Airport
Kampala,Uganda,EBB,HUEN,Entebbe International Airport
Karachi,Pakistan,KHI,OPKC,Jinnah International Airport
Kathmandu,Nepal,KTM,VNKT,Tribhuvan International Airport
Katowice,Poland,KTW,EPKT,Katowice International Airport
Kazan,Russia,KZN,UWKD,Kazan International Airport,[12]
Khartoum,Sudan,KRT,HSSS,Khartoum International Airport,[13]
Kiev,Ukraine,KBP,UKBB,Boryspil International Airport
Kingston,Jamaica,KIN,MKJP,Norman Manley International Airport
Kinshasa,Congo DR,FIH,DZAA,N'djili Airport
Kittilä,Finland,KTT,EFKT,Kittilä Airport,[14]
Klagenfurt,Austria,KLU,LOWK,Klagenfurt Airport
Knock,Ireland,NOC,EIKN,Ireland West Airport
Kolkata,India,CCU,VECC,Netaji Subhash Chandra Bose International Airport,[15]
Kraków,Poland,KRK,EPKK,John Paul II International Airport
Kuala Lumpur,Malaysia,KUL,WMMK,Kuala Lumpur International Airport,[16]
Kuwait City,Kuwait,KWI,OKBK,Kuwait International Airport
Lagos,Nigeria,LOS,DNMM,Murtala Muhammed International Airport
Lahore,Pakistan,LHE,OPLA,Allama Iqbal International Airport
Lamezia Terme,Italy,SUF,LICA,Lamezia Terme International Airport
Larnaca,Cyprus,LCA,LCLK,Larnaca International Airport
Las Palmas,Spain,LPA,GCLP,Gran Canaria Airport
La Paz,Bolivia,LPB,SLLP,El Alto Airport
Leipzig/Halle,Germany (Saxony),LEJ,EDDP,Leipzig-Halle Airport
Libreville,Gabon,LBV,FOOL,Libreville International Airport
Lille,France,LIL,LFQQ,Lesquin Airport
Lima,Peru,LIM,SPIM,Jorge Chávez International Airport
Lisbon,Portugal,LIS,LPPT,Lisbon Portela Airport
London,United Kingdom,LCY,EGLC,London City Airport
London,United Kingdom,LGW,EGKK,London Gatwick Airport,[17]
London,United Kingdom,LHR,EGLL,London Heathrow Airport
London,United Kingdom,STN,EGSS,London Stansted Airport
Los Angeles,United States,LAX,KLAX,Los Angeles International Airport
Lviv,Ukraine,LWO,UKLL,Lviv International Airport
Luanda,Angola,LAD,FNLU,Quatro de Fevereiro Airport
Lublin,Poland,LUZ,EPLB,Lublin Airport
Luqa,Malta,MLA,LMML,Malta International Airport
Luxembourg City,Luxembourg,LUX,ELLX,Luxembourg – Findel Airport
Lyon,France,LYS,LFLL,Lyon-Saint Exupéry Airport
Madrid,Spain,MAD,LEMD,Madrid-Barajas International Airport
Malabo,Equatorial Guinea,SSG,FGSL,Malabo International Airport
Malaga,Spain,AGP,LEMG,Pablo Ruiz Picasso Airport
Malé,Maldives,MLE,VRMM,Ibrahim Nasir International Airport,[8]
Manama,Bahrain,BAH,OBBI,Bahrain International Airport
Manchester,United Kingdom,MAN,EGCC,Manchester Airport
Manila,Philippines,MNL,RPLL,Ninoy Aquino International Airport
Marrakech,Morocco,RAK,GMMX,Menara Airport
Marseilles,France,MRS,LFML,Marseille-Provence Airport
Mashhad,Iran,MHD,OIMM,Mashhad International Airport
Melbourne,Australia,MEL,YMML,Melbourne Airport,[18]
Mérida,Mexico,MID,MMMD,Manuel Crescencio Rejón International Airport
Mexico City,Mexico,MEX,MMMX,Mexico City International Airport
Miami,United States,MIA,KMIA,Miami International Airport
Milan,Italy,LIN,LIML,Linate Airport
Milan,Italy,MXP,LIMC,Milan Malpensa Airport
Milan,Italy,BGY,LIME,Orio al Serio Airport
Minsk,Belarus,MSQ,UMMS,Minsk International Airport
Monterrey,Mexico,MTY,MMMY,General Mariano Escobedo International Airport
Montevideo,Uruguay,MVD,SUMU,General Cesareo Berisso Airport
Montpellier,France,MPL,LFMT,Montpellier–Méditerranée Airport
Montreal,Canada,YUL,CYUL,Montréal-Pierre Elliott Trudeau International Airport
Moscow,Russia,DME,UUDD,Domodedovo International Airport
Moscow,Russia,SVO,UUEE,Sheremetyevo International Airport
Moscow,Russia,VKO,UUWW,Vnukovo International Airport,[19][20]
Mumbai,India,BOM,VABB,Chhatrapati Shivaji International Airport
Munich,Germany (Bavaria),MUC,EDDM,Munich International Airport
Muscat,Oman,MCT,OOMS,Muscat International Airport,[21]
Münster,Germany (North Rhine-Westphalia),FMO,EDDG,Münster Osnabrück International Airport
Nagoya,Japan,NGO,RJGG,Chūbu Centrair International Airport
Nairobi,Kenya,NBO,HKJK,Jomo Kenyatta International Airport,[22]
Nanjing,People's Republic of China,NKG,ZSNJ,Nanjing Lukou International Airport
Naples,Italy,NAP,LIRN,Naples Capodichino Airport
Nassau,Bahamas,NAS,MYNN,Lynden Pindling International Airport
Newark,United States,EWR,KEWR,Newark Liberty International Airport
Newcastle upon Tyne,United Kingdom,NCL,EGNT,Newcastle Airport
Newquay,United Kingdom,NQY,EGHQ,Newquay Cornwall Airport
New York City,United States,JFK,KJFK,John F. Kennedy International Airport
Nice,France,NCE,LFMN,Nice Côte d'Azur Airport
Nizhny Novgorod,Russia,GOJ,UWGG,Nizhny Novgorod International Airport
Novosibirsk,Russia,OVB,UNNT,Tolmachevo Airport
Nuremberg,Germany (Bavaria),NUE,EDDN,Nuremberg Airport
Odessa,Ukraine,ODS,UKPP,Odessa International Airport
Olbia,Italy,OLB,LIEO,Costa Smeralda Airport
Orlando,United States,MCO,KMCO,Orlando International Airport
Osaka,Japan,KIX,RJBB,Kansai International Airport
Oslo,Norway,OSL,ENGM,Oslo Gardermoen Airport
Paderborn,Germany (North Rhine-Westphalia),PAD,EDLP,Paderborn Lippstadt Airport
Palermo,Italy,PMO,LICJ,Palermo Airport
Palma de Mallorca,Spain,PMI,LFPA,Palma de Mallorca Airport
Panama City,Panama,PTY,MPTO,Tocumen International Airport,[23]
Paris,France,CDG,LFPG,Paris-Charles de Gaulle International Airport
Paris,France,ORY,LFPO,Paris-Orly Airport
Perm,Russia,PEE,USPP,Bolshoye Savino Airport,[24]
Perugia,Italy,PEG,LIRZ,Aeroporto Internazionale dell'Umbria-Perugia "San Francesco d'Assisi",[25]
Philadelphia,United States,PHL,KPHL,Philadelphia International Airport
Phoenix,United States,PHX,KPHX,Phoenix Sky Harbor International Airport
Pisa,Italy,PSA,LIRP,Galileo Galilei Airport
Pointe Noire,Congo,PNR,FCPP,Antonio Agostinho Neto Airport
Port Harcourt,Nigeria,PHC,DNPO,Port Harcourt International Airport
Port Louis,Mauritius,MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport,[26]
Portland,United States,PDX,KPDX,Portland International Airport
Porto,Portugal,OPO,LPPR,Francisco de Sá Carneiro Airport
Poznań,Poland,POZ,EPPO,Poznań-Ławica Airport
Prague,Czech Republic,PRG,LKPR,Prague Ruzyně Airport
Pune,India,PNQ,VAPO,Pune International Airport,[27]
Qingdao,People's Republic of China,TAO,ZSQD,Qingdao Liuting International Airport,[28]
Quito,Ecuador,UIO,SEQU,Mariscal Sucre Airport
Recife,Brazil,REC,SBRF,Recife Airport
Reykjavík,Iceland,KEF,BIKF,Keflavík International Airport
Riga,Latvia,RIX,EVRA,Riga International Airport
Rio de Janeiro,Brazil,GIG,SBGL,Rio de Janeiro-Galeão International Airport
Riyadh,Saudi Arabia,RUH,OERK,King Khalid International Airport
Rome,Italy,FCO,LIRF,Leonardo da Vinci-Fiumicino International Airport
Rostock,Germany (Mecklenburg-Vorpommern),RLG,ETNL,Rostock-Laage Airport
Rostov on Don,Russia,ROV,URRR,Rostov-on-Don Airport,[29]
Rotterdam/The Hague,Netherlands,RTM,EHRD,Rotterdam The Hague Airport,[30]
Rzeszów,Poland,RZE,EPRZ,Rzeszów-Jasionka Airport
Sana'a,Yemen,SAH,OYSN,El Rahaba Airport
Saint Petersburg,Russia,LED,ULLI,Pulkovo International Airport
Ho Chi Minh City,Vietnam,SGN,VVTS,Tan Son Nhat International Airport,[31]
Saint Tropez,France,LTT,LFTZ,La Mole Airport
Sal,Cape Verde,SID,GVAC,Amílcar Cabral International Airport
Samara,Russia,KUF,UWWW,Kurumoch International Airport
San Francisco,United States,SFO,KSFO,San Francisco International Airport
San Jose,United States,SJC,KSJC,Norman Y. Mineta Airport,[32]
San Juan,Puerto Rico,SJU,TJSJ,Luis Muñoz Marín International Airport
Santiago,Chile,SCL,SCEL,Comodoro Arturo Merino Benítez International Airport
São Paulo,Brazil,GRU,SBGR,São Paulo-Guarulhos International Airport
Sarajevo,Bosnia and Herzegovina,SJJ,LQSA,Sarajevo International Airport
Seattle,United States,SEA,KSEA,Seattle–Tacoma International Airport
Seoul,South Korea,ICN,RKSI,Incheon International Airport
Shanghai,People's Republic of China,PVG,ZSPD,Shanghai Pudong International Airport
Shenyang,People's Republic of China,SHE,ZYTX,Shenyang Taoxian International Airport,[28]
Sibiu,Romania,SBZ,LRSB,Sibiu International Airport
Singapore,Singapore,SIN,WSSS,Singapore Changi International Airport
Sochi,Russia,AER,URSS,Adler-Sochi International Airport
Sofia,Bulgaria,SOF,LBSF,Sofia Vrazhdebna Airport
Split,Croatia,SPU,LDSP,Split Airport
Stavanger,Norway,SVG,ENZV,Stavanger Airport
Stockholm,Sweden,ARN,ESSA,Stockholm-Arlanda Airport
Strasbourg,France,SXB,LFST,Strasbourg Airport
Stuttgart,Germany (Baden-Württemberg),STR,EDDS,Stuttgart Echterdingen Airport
Sydney,Australia,SYD,YSSY,Sydney Kingsford-Smith International Airport,[18]
Taipei,Taiwan,TPE,RCTP,Taiwan Taoyuan International Airport
Tallinn,Estonia,TLL,EETN,Lennart Meri Airport
Tampa,United States,TPA,KTPA,Tampa International Airport,[33]
Tangier,Morocco,TNG,GMTT,Tangier Ibn Battouta Airport
Tashkent,Uzbekistan,TAS,UTTT,Tashkent International Airport
Tbilisi,Georgia,TBS,UGTB,Tbilisi International Airport
Tehran,Iran,IKA,OIIE,Tehran Imam Khomeini International Airport
Tel Aviv,Israel,TLV,LLBG,Ben Gurion International Airport
Thessaloniki,Greece,SKG,LGTS,Macedonia Airport
Timisoara,Romania,TSR,LRTR,Traian Vuia International Airport
Tirana,Albania,TIA,LATI,Mother Tereza Airport
Tokyo,Japan,HND,RJTT,Haneda International Airport,[34]
Tokyo,Japan,NRT,RJAA,Narita International Airport
Toronto,Canada,YYZ,CYYZ,Toronto Pearson International Airport
Toulouse,France,TLS,LFBO,Toulouse-Blagnac Airport
Trieste,Italy,TRS,LIPQ,Friuli Venezia Giulia Airport
Tripoli,Libya,TIP,HLLT,Tripoli International Airport,[35]
Trondheim,Norway,TRD,ENVA,Trondheim Airport
Turku,Finland,TKU,EFTU,Turku Airport
Tunis,Tunisia,TUN,DTTA,Tunis–Carthage International Airport
Turin,Italy,TRN,LIMF,Turin Caselle Airport
Ufa,Russia,UFA,UWUU,Ufa International Airport
Valencia,Spain,VLC,LEVC,Valencia Manises Airport
Vancouver,Canada,YVR,CYVR,Vancouver International Airport
Venice,Italy,VCE,LIPZ,Venice Marco Polo Airport
Verona,Italy,VRN,LIPX,Verona Airport
Vienna,Austria,VIE,LOWW,Vienna International Airport
Vilnius,Lithuania,VNO,EYVI,Vilnius International Airport
Warsaw,Poland,WAW,EPWA,Warsaw Frederic Chopin International Airport
Washington D.C,United States,IAD,KIAD,Dulles Airport
Westerland,Germany (Schleswig-Holstein),GWT,EDXW,Sylt Airport
Windhoek,Namibia,WDH,FYWH,Windhoek Hosea Kutako International Airport
Wroclaw,Poland,WRO,EPWR,Copernicus Airport
Yekaterinburg,Russia,SVX,USSS,Koltsovo Airport,[36]
Yerevan,Armenia,EVN,UDYZ,Zvartnots International Airport,[37]
Zadar,Croatia,ZAD,LDZD,Zadar Airport
Zagreb,Croatia,ZAG,LDZA,Zagreb Airport
Zurich,Switzerland,ZRH,LSZH,Zurich Airport
